id,name,symbol,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h
bitcoin,Bitcoin,btc,112513.0,2243535149058,-1.89681,115934.0,110256.0
ethereum,Ethereum,eth,4103.07,496090663448,-1.86964,4283.09,3905.32
tether,Tether,usdt,1.001,180152353262,-0.02095,1.001,1.001
binancecoin,BNB,bnb,1212.86,169011336794,-5.00937,1317.72,1144.98
ripple,XRP,xrp,2.51,150432768613,-3.50807,2.64,2.41
solana,Solana,sol,202.21,110579511183,0.11465,210.8,192.27
usd-coin,USDC,usdc,0.999902,75753366767,0.00928,1.0,0.999803
staked-ether,Lido Staked Ether,steth,4101.53,34889511755,-1.68041,4284.14,3904.43
dogecoin,Dogecoin,doge,0.203617,30809304637,-4.07346,0.218041,0.195789
tron,TRON,trx,0.316764,29988366750,-1.54379,0.324224,0.30862
cardano,Cardano,ada,0.699184,25572514985,-2.61088,0.734399,0.667708
wrapped-steth,Wrapped stETH,wsteth,4991.06,15955019471,-1.84127,5207.47,4751.2
wrapped-beacon-eth,Wrapped Beacon ETH,wbeth,4418.84,14470791063,-1.82112,4608.99,4199.27
wrapped-bitcoin,Wrapped Bitcoin,wbtc,112567.0,14280110965,-1.73342,116040.0,110314.0
chainlink,Chainlink,link,19.05,13277767481,-3.02766,20.17,18.22
figure-heloc,Figure Heloc,figr_heloc,0.998745,12957460405,2.39062,1.0,0.975426
ethena-usde,Ethena USDe,usde,0.999665,12498730091,-0.10615,1.003,0.998794
wrapped-eeth,Wrapped eETH,weeth,4425.35,11032226264,-1.93145,4620.52,4213.2
hyperliquid,Hyperliquid,hype,40.21,10882530283,-0.74635,43.51,37.67
stellar,Stellar,xlm,0.334838,10722948408,-3.78065,0.35424,0.322513
